a.	172800	in	soa	b.c.a. d.e.f.g. 1736857338 900 300 2419200 3600
h.a.	172800	in	ns	i.j.k.
h.a.	172800	in	ns	l.j.k.
h.a.	172800	in	ns	m.j.k.
h.a.	172800	in	ns	n.j.k.
h.a.	172800	in	ns	o.j.k.
h.a.	172800	in	ns	p.j.k.
h.a.	172800	in	ns	q.j.k.
r.a.	172800	in	ns	s.t.k.
r.a.	172800	in	ns	u.t.v.
r.a.	172800	in	ns	w.t.f.
r.a.	172800	in	ns	x.t.y.
a.	3600	in	ns	b.c.a.
a.	3600	in	ns	z.c.a.
a.	3600	in	ns	aa.c.a.
a.	3600	in	ns	ab.c.a.
a.	3600	in	ns	ac.c.a.
a.	3600	in	ns	ad.c.a.
a.	3600	in	ns	ae.c.a.
a.	3600	in	ns	af.c.a.
ag.a.	172800	in	ns	ah.t.k.
ag.a.	172800	in	ns	ai.t.v.
ag.a.	172800	in	ns	aj.t.f.
ag.a.	172800	in	ns	ak.t.y.
al.a.	172800	in	ns	i.j.k.
al.a.	172800	in	ns	l.j.k.
al.a.	172800	in	ns	m.j.k.
al.a.	172800	in	ns	n.j.k.
al.a.	172800	in	ns	o.j.k.
al.a.	172800	in	ns	p.j.k.
al.a.	172800	in	ns	q.j.k.
k.a.	172800	in	ns	am.t.k.
k.a.	172800	in	ns	an.t.v.
k.a.	172800	in	ns	ao.t.f.
k.a.	172800	in	ns	ap.t.y.
aq.a.	172800	in	ns	i.j.k.
aq.a.	172800	in	ns	l.j.k.
aq.a.	172800	in	ns	m.j.k.
aq.a.	172800	in	ns	n.j.k.
aq.a.	172800	in	ns	o.j.k.
aq.a.	172800	in	ns	p.j.k.
aq.a.	172800	in	ns	q.j.k.
b.c.a.	86400	in	a	213.248.219.130
b.c.a.	86400	in	aaaa	2a01:0618:0403:0000:0000:0000:0000:0130
z.c.a.	86400	in	a	103.49.83.130
z.c.a.	86400	in	aaaa	2401:fd80:0403:0000:0000:0000:0000:0130
aa.c.a.	86400	in	a	213.248.223.130
