a.	900	in	soa	b.c.d. e.c.d. 224044 900 1800 6048000 3600
f.g.a.	3600	in	a	194.169.218.67
f.g.a.	3600	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0067
h.a.	3600	in	ns	i.j.k.
h.a.	3600	in	ns	l.j.k.
h.a.	3600	in	ns	m.j.k.
h.a.	3600	in	ns	n.j.k.
o.a.	3600	in	ns	p.q.r.
o.a.	3600	in	ns	p.q.k.
o.a.	3600	in	ns	p.q.d.
o.a.	3600	in	ns	p.q.s.
t.a.	3600	in	ns	i.j.k.
t.a.	3600	in	ns	l.j.k.
t.a.	3600	in	ns	m.j.k.
t.a.	3600	in	ns	n.j.k.
u.a.	3600	in	ns	i.v.k.
u.a.	3600	in	ns	l.v.k.
u.a.	3600	in	ns	m.v.k.
u.a.	3600	in	ns	n.v.k.
u.a.	3600	in	ns	w.v.k.
u.a.	3600	in	ns	x.v.k.
u.a.	3600	in	ns	y.v.k.
z.a.	3600	in	ns	i.v.k.
z.a.	3600	in	ns	l.v.k.
z.a.	3600	in	ns	m.v.k.
z.a.	3600	in	ns	n.v.k.
z.a.	3600	in	ns	w.v.k.
z.a.	3600	in	ns	x.v.k.
z.a.	3600	in	ns	y.v.k.
aa.a.	3600	in	ns	i.v.k.
aa.a.	3600	in	ns	l.v.k.
aa.a.	3600	in	ns	m.v.k.
aa.a.	3600	in	ns	n.v.k.
aa.a.	3600	in	ns	w.v.k.
aa.a.	3600	in	ns	x.v.k.
aa.a.	3600	in	ns	y.v.k.
ab.a.	3600	in	ns	i.ab.k.
ab.a.	3600	in	ns	l.ab.k.
ab.a.	3600	in	ns	m.ab.ac.
ab.a.	3600	in	ns	n.ab.ac.
ab.a.	3600	in	ns	w.ad.d.
ab.a.	3600	in	ns	x.ad.d.
ae.a.	3600	in	ns	i.j.k.
ae.a.	3600	in	ns	l.j.k.
ae.a.	3600	in	ns	m.j.k.
ae.a.	3600	in	ns	n.j.k.
af.a.	3600	in	ns	ag.ah.ai.aj.
af.a.	3600	in	ns	ak.ah.al.
af.a.	3600	in	ns	am.ah.d.
an.a.	3600	in	ns	i.j.k.
an.a.	3600	in	ns	l.j.k.
an.a.	3600	in	ns	m.j.k.
an.a.	3600	in	ns	n.j.k.
ao.a.	3600	in	ns	ap.aq.k.
ao.a.	3600	in	ns	ar.aq.k.
as.a.	3600	in	ns	f.at.au.k.
as.a.	3600	in	ns	av.at.au.k.
as.a.	3600	in	ns	aw.at.au.k.
as.a.	3600	in	ns	ax.at.au.k.
ay.a.	3600	in	ns	az.ba.s.
ay.a.	3600	in	ns	bb.bc.k.
ay.a.	3600	in	ns	bd.be.ai.aj.
ay.a.	3600	in	ns	bf.bg.d.
bh.a.	3600	in	ns	bi.bj.s.
bh.a.	3600	in	ns	bk.bl.ai.aj.
bh.a.	3600	in	ns	bm.bn.k.
bh.a.	3600	in	ns	bo.bp.d.
bq.a.	3600	in	ns	br.bs.d.
bq.a.	3600	in	ns	bt.bs.d.
bu.a.	3600	in	ns	br.bs.d.
bu.a.	3600	in	ns	bt.bs.d.
bv.a.	3600	in	ns	br.bs.d.
bv.a.	3600	in	ns	bt.bs.d.
bw.a.	3600	in	ns	bx.by.k.
bw.a.	3600	in	ns	bz.by.d.
bw.a.	3600	in	ns	ca.by.s.
bw.a.	3600	in	ns	cb.by.cc.
av.g.a.	3600	in	a	185.24.64.67
av.g.a.	3600	in	aaaa	2a04:2b00:13cc:0000:0000:0000:0001:0067
cd.a.	3600	in	ns	br.bs.d.
cd.a.	3600	in	ns	bt.bs.d.
ce.a.	3600	in	ns	i.j.k.
ce.a.	3600	in	ns	l.j.k.
ce.a.	3600	in	ns	m.j.k.
ce.a.	3600	in	ns	n.j.k.
cf.a.	3600	in	ns	br.bs.d.
cf.a.	3600	in	ns	bt.bs.d.
aw.g.a.	172800	in	a	185.38.99.10
aw.g.a.	172800	in	aaaa	2a02:e180:0003:0000:0000:0000:0000:0010
cg.a.	3600	in	ns	br.ch.k.
cg.a.	3600	in	ns	bt.ch.d.
cg.a.	3600	in	ns	ci.ch.s.
cj.a.	3600	in	ns	i.j.k.
cj.a.	3600	in	ns	l.j.k.
cj.a.	3600	in	ns	m.j.k.
cj.a.	3600	in	ns	n.j.k.
ck.a.	3600	in	ns	i.cl.d.
ck.a.	3600	in	ns	l.cl.d.
ck.a.	3600	in	ns	m.cl.d.
cm.a.	3600	in	ns	br.cn.k.
cm.a.	3600	in	ns	bt.cn.k.
co.a.	3600	in	ns	cp.at.cq.k.
co.a.	3600	in	ns	cr.at.cq.k.
cs.a.	3600	in	ns	br.cn.k.
cs.a.	3600	in	ns	bt.cn.k.
ax.g.a.	172800	in	a	108.59.161.10
ax.g.a.	172800	in	aaaa	2a02:e180:0004:0000:0000:0000:0000:0010
ct.a.	3600	in	ns	p.q.r.
ct.a.	3600	in	ns	p.q.k.
ct.a.	3600	in	ns	p.q.d.
ct.a.	3600	in	ns	p.q.s.
cu.a.	3600	in	ns	cv.cw.s.
cu.a.	3600	in	ns	cx.cy.ai.aj.
cu.a.	3600	in	ns	cz.da.k.
cu.a.	3600	in	ns	db.dc.d.
dd.a.	3600	in	ns	i.j.k.
dd.a.	3600	in	ns	l.j.k.
dd.a.	3600	in	ns	m.j.k.
dd.a.	3600	in	ns	n.j.k.
de.a.	3600	in	ns	df.cn.k.
de.a.	3600	in	ns	dg.cn.k.
dh.g.a.	3600	in	a	212.18.248.67
dh.g.a.	3600	in	aaaa	2a04:2b00:13ee:0000:0000:0000:0000:0067
di.a.	3600	in	ns	dj.dk.dl.ac.
di.a.	3600	in	ns	dm.dk.dl.ac.
dn.a.	3600	in	ns	p.q.r.
dn.a.	3600	in	ns	p.q.k.
dn.a.	3600	in	ns	p.q.d.
dn.a.	3600	in	ns	p.q.s.
do.a.	3600	in	ns	i.dp.d.
do.a.	3600	in	ns	l.dp.d.
dq.a.	3600	in	ns	i.v.k.
dq.a.	3600	in	ns	l.v.k.
dq.a.	3600	in	ns	m.v.k.
dq.a.	3600	in	ns	n.v.k.
dq.a.	3600	in	ns	w.v.k.
dq.a.	3600	in	ns	x.v.k.
dq.a.	3600	in	ns	y.v.k.
dr.a.	3600	in	ns	br.bs.d.
dr.a.	3600	in	ns	bt.bs.d.
ds.a.	3600	in	ns	br.bs.d.
ds.a.	3600	in	ns	bt.bs.d.
dt.g.a.	3600	in	a	212.18.249.67
dt.g.a.	3600	in	aaaa	2a04:2b00:13ff:0000:0000:0000:0000:0067
du.a.	3600	in	ns	f.at.du.k.
du.a.	3600	in	ns	av.at.du.k.
du.a.	3600	in	ns	aw.at.du.k.
du.a.	3600	in	ns	ax.at.du.k.
dv.a.	3600	in	ns	br.bs.d.
dv.a.	3600	in	ns	bt.bs.d.
dw.a.	3600	in	ns	i.dx.k.
dw.a.	3600	in	ns	l.dx.k.
dw.a.	3600	in	ns	m.dx.k.
dy.a.	3600	in	ns	dz.ch.d.
dy.a.	3600	in	ns	ea.ch.d.
dy.a.	3600	in	ns	eb.ch.s.
dy.a.	3600	in	ns	ec.ch.s.
